,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.6130389064143007,0.6779069767441861,0.6438431805632248,0.9253889674681753,validation,,,,
B-ADR,,,,,,0.8048327137546468,0.7556719022687609,0.7794779477947795,573.0
B-Disease,,,,,,0.34615384615384615,0.6666666666666666,0.45569620253164556,27.0
B-Drug,,,,,,0.949438202247191,0.9712643678160919,0.9602272727272727,174.0
B-Finding,,,,,,0.0,0.0,0.0,40.0
B-Symptom,,,,,,0.0,0.0,0.0,17.0
I-ADR,,,,,,0.8021346469622331,0.7550231839258115,0.7778662420382165,1294.0
I-Disease,,,,,,0.21951219512195122,0.42857142857142855,0.2903225806451613,21.0
I-Drug,,,,,,0.8794642857142857,0.9899497487437185,0.9314420803782506,199.0
I-Finding,,,,,,0.5714285714285714,0.07407407407407407,0.13114754098360656,54.0
I-Symptom,,,,,,0.0,0.0,0.0,22.0
O,,,,,,0.956805125939019,0.9741311438533349,0.9653904029426518,8891.0
accuracy,,,,,,0.9253889674681753,0.9253889674681753,0.9253889674681753,0.9253889674681753
macro avg,,,,,,0.5027063261201585,0.5104865923563534,0.48105184273105317,11312.0
weighted avg,,,,,,0.9185921539713024,0.9253889674681753,0.9206510707365464,11312.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.6595970307529162,0.7232558139534884,0.6899611758180809,0.932991513437058,validation,,,,
B-ADR,,,,,,0.8071672354948806,0.8254799301919721,0.816220880069025,573.0
B-Disease,,,,,,0.32608695652173914,0.5555555555555556,0.410958904109589,27.0
B-Drug,,,,,,0.9770114942528736,0.9770114942528736,0.9770114942528736,174.0
B-Finding,,,,,,0.4,0.1,0.16,40.0
B-Symptom,,,,,,1.0,0.29411764705882354,0.45454545454545453,17.0
I-ADR,,,,,,0.8255813953488372,0.768160741885626,0.7958366693354684,1294.0
I-Disease,,,,,,0.2391304347826087,0.5238095238095238,0.3283582089552239,21.0
I-Drug,,,,,,0.9558823529411765,0.9798994974874372,0.967741935483871,199.0
I-Finding,,,,,,0.47368421052631576,0.16666666666666666,0.2465753424657534,54.0
I-Symptom,,,,,,0.0,0.0,0.0,22.0
O,,,,,,0.9622976269682857,0.9760431897424362,0.9691216706683791,8891.0
accuracy,,,,,,0.932991513437058,0.932991513437058,0.932991513437058,0.932991513437058
macro avg,,,,,,0.6333492460760652,0.5606131133319013,0.5569427781714217,11312.0
weighted avg,,,,,,0.9299171654398185,0.932991513437058,0.930161102147537,11312.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.6578657865786579,0.6953488372093023,0.676088185415489,0.9279526166902404,validation,,,,
B-ADR,,,,,,0.8330097087378641,0.7486910994764397,0.7886029411764706,573.0
B-Disease,,,,,,0.2222222222222222,0.07407407407407407,0.1111111111111111,27.0
B-Drug,,,,,,0.9883720930232558,0.9770114942528736,0.9826589595375722,174.0
B-Finding,,,,,,0.3783783783783784,0.7,0.49122807017543857,40.0
B-Symptom,,,,,,0.37037037037037035,0.5882352941176471,0.45454545454545453,17.0
I-ADR,,,,,,0.8566037735849057,0.7017001545595054,0.7714528462192014,1294.0
I-Disease,,,,,,0.375,0.2857142857142857,0.32432432432432434,21.0
I-Drug,,,,,,0.9651741293532339,0.9748743718592965,0.97,199.0
I-Finding,,,,,,0.4225352112676056,0.5555555555555556,0.48,54.0
I-Symptom,,,,,,0.15217391304347827,0.3181818181818182,0.20588235294117646,22.0
O,,,,,,0.9552680627124219,0.9799797548082331,0.967466133688652,8891.0
accuracy,,,,,,0.9279526166902404,0.9279526166902404,0.9279526166902404,0.9279526166902404
macro avg,,,,,,0.5926461693357943,0.6276379911454298,0.5952065630654001,11312.0
weighted avg,,,,,,0.9286214415272266,0.9279526166902404,0.9267609741864314,11312.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.6794871794871795,0.7395348837209302,0.7082405345211581,0.9336103253182461,validation,,,,
B-ADR,,,,,,0.797979797979798,0.8272251308900523,0.8123393316195373,573.0
B-Disease,,,,,,0.3888888888888889,0.5185185185185185,0.4444444444444444,27.0
B-Drug,,,,,,0.9606741573033708,0.9827586206896551,0.9715909090909091,174.0
B-Finding,,,,,,0.5,0.4,0.4444444444444444,40.0
B-Symptom,,,,,,0.75,0.5294117647058824,0.6206896551724138,17.0
I-ADR,,,,,,0.8189863234111022,0.7867078825347759,0.8025226645644462,1294.0
I-Disease,,,,,,0.2619047619047619,0.5238095238095238,0.3492063492063492,21.0
I-Drug,,,,,,0.9333333333333333,0.9849246231155779,0.9584352078239609,199.0
I-Finding,,,,,,0.375,0.2777777777777778,0.3191489361702128,54.0
I-Symptom,,,,,,0.7,0.3181818181818182,0.4375,22.0
O,,,,,,0.9680314077397645,0.9706444719379147,0.9693361788161294,8891.0
accuracy,,,,,,0.9336103253182461,0.9336103253182461,0.9336103253182461,0.9336103253182461
macro avg,,,,,,0.6777089700510018,0.6472691029237724,0.6481507383048043,11312.0
weighted avg,,,,,,0.9336163905281786,0.9336103253182461,0.93322224479841,11312.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.677801724137931,0.7313953488372092,0.703579418344519,0.9342291371994342,validation,,,,
B-ADR,,,,,,0.785831960461285,0.8324607329842932,0.8084745762711865,573.0
B-Disease,,,,,,0.38461538461538464,0.18518518518518517,0.25,27.0
B-Drug,,,,,,0.9715909090909091,0.9827586206896551,0.9771428571428571,174.0
B-Finding,,,,,,0.4888888888888889,0.55,0.5176470588235295,40.0
B-Symptom,,,,,,0.625,0.29411764705882354,0.4,17.0
I-ADR,,,,,,0.8124018838304553,0.7998454404945904,0.8060747663551402,1294.0
I-Disease,,,,,,0.35294117647058826,0.2857142857142857,0.3157894736842105,21.0
I-Drug,,,,,,0.9560975609756097,0.9849246231155779,0.9702970297029703,199.0
I-Finding,,,,,,0.48148148148148145,0.48148148148148145,0.48148148148148145,54.0
I-Symptom,,,,,,0.5,0.22727272727272727,0.3125,22.0
O,,,,,,0.9682129619229474,0.9695197390619728,0.9688659098572553,8891.0
accuracy,,,,,,0.9342291371994342,0.9342291371994342,0.9342291371994342,0.9342291371994342
macro avg,,,,,,0.6660965643397773,0.5993891348235084,0.6189339230289664,11312.0
weighted avg,,,,,,0.9330099331630011,0.9342291371994342,0.9332901265701782,11312.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.6109979633401222,0.6795016987542469,0.6434316353887399,0.9151864595926719,test,,,,
B-ADR,,,,,,0.7487765089722676,0.8123893805309734,0.7792869269949066,565.0
B-Disease,,,,,,0.3333333333333333,0.48,0.39344262295081966,25.0
B-Drug,,,,,,0.9518072289156626,0.9753086419753086,0.9634146341463414,162.0
B-Finding,,,,,,0.5882352941176471,0.15151515151515152,0.24096385542168675,66.0
B-Symptom,,,,,,0.8461538461538461,0.4074074074074074,0.55,27.0
I-ADR,,,,,,0.7538091419406576,0.7401574803149606,0.7469209376241558,1270.0
