,precision,recall,f1,accuracy,precision,recall,f1-score,support
0,0.5889447236180905,0.6813953488372093,0.6318059299191375,0.9225284757847144,,,,
B-ADR,,,,,0.7557377049180328,0.8045375218150087,0.779374471682164,573.0
B-Disease,,,,,0.23076923076923078,0.2222222222222222,0.22641509433962265,27.0
B-Drug,,,,,0.9485714285714286,0.9540229885057471,0.9512893982808023,174.0
B-Finding,,,,,0.3333333333333333,0.1,0.15384615384615385,40.0
B-Symptom,,,,,0.0,0.0,0.0,17.0
I-ADR,,,,,0.8284584980237154,0.763292061179898,0.7945413191811979,1373.0
I-Disease,,,,,0.22,0.4888888888888889,0.30344827586206896,45.0
I-Drug,,,,,0.9138576779026217,0.9644268774703557,0.9384615384615385,253.0
I-Finding,,,,,0.5555555555555556,0.05102040816326531,0.09345794392523364,98.0
I-Symptom,,,,,0.0,0.0,0.0,23.0
O,,,,,0.9576186787650769,0.9747690921378689,0.9661177783979905,8878.0
accuracy,,,,,0.9225284757847144,0.9225284757847144,0.9225284757847144,0.9225284757847144
macro avg,,,,,0.522172918894454,0.48392546003484144,0.47335927036152464,11501.0
weighted avg,,,,,0.9175215912416559,0.9225284757847144,0.917547749698125,11501.0
,precision,recall,f1,accuracy,precision,recall,f1-score,support
0,0.6216494845360825,0.7011627906976744,0.659016393442623,0.9276584644813495,,,,
B-ADR,,,,,0.7841483979763912,0.8115183246073299,0.7975986277873071,573.0
B-Disease,,,,,0.20833333333333334,0.18518518518518517,0.19607843137254902,27.0
B-Drug,,,,,0.9655172413793104,0.9655172413793104,0.9655172413793104,174.0
B-Finding,,,,,0.34615384615384615,0.225,0.2727272727272727,40.0
B-Symptom,,,,,1.0,0.11764705882352941,0.21052631578947367,17.0
I-ADR,,,,,0.8414442700156985,0.7807720320466133,0.8099735549678881,1373.0
I-Disease,,,,,0.1978021978021978,0.4,0.2647058823529412,45.0
I-Drug,,,,,0.9040590405904059,0.9683794466403162,0.9351145038167938,253.0
I-Finding,,,,,0.48717948717948717,0.19387755102040816,0.2773722627737226,98.0
I-Symptom,,,,,0.5,0.043478260869565216,0.08,23.0
O,,,,,0.9622431982232094,0.97600810993467,0.9690767768271543,8878.0
accuracy,,,,,0.9276584644813495,0.9276584644813495,0.9276584644813495,0.9276584644813495
macro avg,,,,,0.6542619102412618,0.5152166555006299,0.5253355336176738,11501.0
weighted avg,,,,,0.9258984356454129,0.9276584644813495,0.9249527607349308,11501.0
,precision,recall,f1,accuracy,precision,recall,f1-score,support
0,0.6297071129707112,0.7,0.6629955947136563,0.9284410051299887,,,,
B-ADR,,,,,0.7808896210873146,0.8272251308900523,0.8033898305084746,573.0
B-Disease,,,,,0.2,0.18518518518518517,0.19230769230769232,27.0
B-Drug,,,,,0.9653179190751445,0.9597701149425287,0.962536023054755,174.0
B-Finding,,,,,0.43478260869565216,0.25,0.31746031746031744,40.0
B-Symptom,,,,,0.75,0.17647058823529413,0.2857142857142857,17.0
I-ADR,,,,,0.8303914044512664,0.7880553532410779,0.8086696562032885,1373.0
I-Disease,,,,,0.1875,0.3333333333333333,0.24,45.0
I-Drug,,,,,0.9343629343629344,0.9565217391304348,0.9453125,253.0
I-Finding,,,,,0.6190476190476191,0.2653061224489796,0.37142857142857144,98.0
I-Symptom,,,,,0.6666666666666666,0.08695652173913043,0.15384615384615385,23.0
O,,,,,0.9632598530394122,0.9745438161748141,0.968868980963046,8878.0
accuracy,,,,,0.9284410051299887,0.9284410051299887,0.9284410051299887,0.9284410051299887
macro avg,,,,,0.6665653296750919,0.5275789004837119,0.5499576374078714,11501.0
weighted avg,,,,,0.9272007713363398,0.9284410051299887,0.9262147882041775,11501.0
