,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.5686719636776391,0.5825581395348837,0.575531303848363,0.9107034170941657,validation,,,,
B-ADR,,,,,,0.6764705882352942,0.7225130890052356,0.6987341772151898,573.0
B-Disease,,,,,,0.0,0.0,0.0,27.0
B-Drug,,,,,,0.9430379746835443,0.8563218390804598,0.8975903614457831,174.0
B-Finding,,,,,,0.0,0.0,0.0,40.0
B-Symptom,,,,,,0.0,0.0,0.0,17.0
I-ADR,,,,,,0.7609828741623231,0.7443554260742898,0.7525773195876289,1373.0
I-Disease,,,,,,0.0,0.0,0.0,45.0
I-Drug,,,,,,0.8413793103448276,0.9644268774703557,0.8987108655616943,253.0
I-Finding,,,,,,0.0,0.0,0.0,98.0
I-Symptom,,,,,,0.0,0.0,0.0,23.0
O,,,,,,0.9502088371070565,0.9737553503041225,0.9618380062305296,8878.0
accuracy,,,,,,0.9107034170941657,0.9107034170941657,0.9107034170941657,0.9107034170941657
macro avg,,,,,,0.37927996223027693,0.38739750744858764,0.3826773390946205,11501.0
weighted avg,,,,,,0.8908232990376767,0.9107034170941657,0.9004795873864391,11501.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.5896624472573839,0.65,0.618362831858407,0.9226154247456743,validation,,,,
B-ADR,,,,,,0.7470881863560732,0.7835951134380453,0.7649063032367973,573.0
B-Disease,,,,,,0.18181818181818182,0.07407407407407407,0.10526315789473684,27.0
B-Drug,,,,,,0.9597701149425287,0.9597701149425287,0.9597701149425287,174.0
B-Finding,,,,,,0.3684210526315789,0.175,0.23728813559322035,40.0
B-Symptom,,,,,,1.0,0.058823529411764705,0.1111111111111111,17.0
I-ADR,,,,,,0.7952069716775599,0.797523670793882,0.7963636363636364,1373.0
I-Disease,,,,,,0.16049382716049382,0.28888888888888886,0.20634920634920634,45.0
I-Drug,,,,,,0.9420849420849421,0.9644268774703557,0.953125,253.0
I-Finding,,,,,,0.358974358974359,0.14285714285714285,0.20437956204379562,98.0
I-Symptom,,,,,,0.0,0.0,0.0,23.0
O,,,,,,0.9642018122832532,0.9708267627844109,0.9675029466240108,8878.0
accuracy,,,,,,0.9226154247456743,0.9226154247456743,0.9226154247456743,0.9226154247456743
macro avg,,,,,,0.58891449526627,0.4741623795146449,0.48236901583264036,11501.0
weighted avg,,,,,,0.9185705177905916,0.9226154247456743,0.9192998696245289,11501.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.6067297581493165,0.6709302325581395,0.6372170071783546,0.9241805060429528,validation,,,,
B-ADR,,,,,,0.7587939698492462,0.7905759162303665,0.7743589743589744,573.0
B-Disease,,,,,,0.19047619047619047,0.14814814814814814,0.16666666666666666,27.0
B-Drug,,,,,,0.949438202247191,0.9712643678160919,0.9602272727272727,174.0
B-Finding,,,,,,0.2857142857142857,0.25,0.26666666666666666,40.0
B-Symptom,,,,,,0.5,0.17647058823529413,0.2608695652173913,17.0
I-ADR,,,,,,0.846897663174859,0.7654770575382375,0.8041315990818668,1373.0
I-Disease,,,,,,0.1206896551724138,0.15555555555555556,0.13592233009708737,45.0
I-Drug,,,,,,0.9245283018867925,0.9683794466403162,0.9459459459459459,253.0
I-Finding,,,,,,0.2980769230769231,0.3163265306122449,0.3069306930693069,98.0
I-Symptom,,,,,,0.0,0.0,0.0,23.0
O,,,,,,0.9622054246331703,0.9749943681009237,0.9685576815486181,8878.0
accuracy,,,,,,0.9241805060429528,0.9241805060429528,0.9241805060429528,0.9241805060429528
macro avg,,,,,,0.5306200560210066,0.5015629071706527,0.5082070359436179,11501.0
weighted avg,,,,,,0.9215599604590976,0.9241805060429528,0.922427311230773,11501.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.632258064516129,0.6837209302325581,0.6569832402234637,0.9247021998087123,validation,,,,
B-ADR,,,,,,0.7925170068027211,0.8132635253054101,0.8027562446167097,573.0
B-Disease,,,,,,0.25,0.37037037037037035,0.29850746268656714,27.0
B-Drug,,,,,,0.976878612716763,0.9712643678160919,0.9740634005763689,174.0
B-Finding,,,,,,0.3157894736842105,0.15,0.2033898305084746,40.0
B-Symptom,,,,,,1.0,0.11764705882352941,0.21052631578947367,17.0
I-ADR,,,,,,0.81797583081571,0.7887836853605243,0.8031145717463849,1373.0
I-Disease,,,,,,0.1702127659574468,0.35555555555555557,0.2302158273381295,45.0
I-Drug,,,,,,0.928030303030303,0.9683794466403162,0.9477756286266924,253.0
I-Finding,,,,,,0.3148148148148148,0.17346938775510204,0.2236842105263158,98.0
I-Symptom,,,,,,0.0,0.0,0.0,23.0
O,,,,,,0.9639941853963995,0.9710520387474656,0.9675102407272319,8878.0
accuracy,,,,,,0.9247021998087123,0.9247021998087123,0.9247021998087123,0.9247021998087123
macro avg,,,,,,0.5936557266562154,0.5163441305794878,0.5146857939220317,11501.0
weighted avg,,,,,,0.9229801746894924,0.9247021998087123,0.9228363468424884,11501.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.6527012127894156,0.6883720930232559,0.6700622524052066,0.9255716894183115,validation,,,,
B-ADR,,,,,,0.8045774647887324,0.7975567190226877,0.8010517090271692,573.0
B-Disease,,,,,,0.28125,0.3333333333333333,0.3050847457627119,27.0
B-Drug,,,,,,0.9657142857142857,0.9712643678160919,0.9684813753581661,174.0
B-Finding,,,,,,0.3,0.225,0.2571428571428571,40.0
B-Symptom,,,,,,1.0,0.17647058823529413,0.3,17.0
I-ADR,,,,,,0.844551282051282,0.7676620538965768,0.8042731781762686,1373.0
I-Disease,,,,,,0.13793103448275862,0.26666666666666666,0.18181818181818182,45.0
I-Drug,,,,,,0.9351145038167938,0.9683794466403162,0.9514563106796117,253.0
I-Finding,,,,,,0.2571428571428571,0.1836734693877551,0.21428571428571427,98.0
I-Symptom,,,,,,0.0,0.0,0.0,23.0
O,,,,,,0.9604475958342565,0.9764586618607795,0.9683869526362824,8878.0
accuracy,,,,,,0.9255716894183115,0.9255716894183115,0.9255716894183115,0.9255716894183115
