,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.546694648478489,0.6058139534883721,0.5747380033094318,0.9127901921572037,validation,,,,
B-ADR,,,,,,0.6723076923076923,0.7626527050610821,0.7146361406377759,573.0
B-Disease,,,,,,0.0,0.0,0.0,27.0
B-Drug,,,,,,0.9385474860335196,0.9655172413793104,0.9518413597733711,174.0
B-Finding,,,,,,0.0,0.0,0.0,40.0
B-Symptom,,,,,,0.0,0.0,0.0,17.0
I-ADR,,,,,,0.7596726190476191,0.7436270939548434,0.7515642252484358,1373.0
I-Disease,,,,,,0.0,0.0,0.0,45.0
I-Drug,,,,,,0.9080882352941176,0.9762845849802372,0.940952380952381,253.0
I-Finding,,,,,,0.0,0.0,0.0,98.0
I-Symptom,,,,,,0.0,0.0,0.0,23.0
O,,,,,,0.9524072438162544,0.9715025906735751,0.9618601538976246,8878.0
accuracy,,,,,,0.9127901921572037,0.9127901921572037,0.9127901921572037,0.9127901921572037
macro avg,,,,,,0.38463847968174575,0.40178038327718624,0.3928049327735989,11501.0
weighted avg,,,,,,0.8935560308098982,0.9127901921572037,0.9029180058374209,11501.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.5838574423480084,0.6476744186046511,0.6141124586549063,0.922876271628554,validation,,,,
B-ADR,,,,,,0.744299674267101,0.7975567190226877,0.7700084245998315,573.0
B-Disease,,,,,,0.16666666666666666,0.037037037037037035,0.06060606060606061,27.0
B-Drug,,,,,,0.9655172413793104,0.9655172413793104,0.9655172413793104,174.0
B-Finding,,,,,,0.5294117647058824,0.225,0.3157894736842105,40.0
B-Symptom,,,,,,0.0,0.0,0.0,17.0
I-ADR,,,,,,0.7995594713656388,0.7931536780772032,0.7963436928702011,1373.0
I-Disease,,,,,,0.24468085106382978,0.5111111111111111,0.33093525179856115,45.0
I-Drug,,,,,,0.9285714285714286,0.9762845849802372,0.9518304431599229,253.0
I-Finding,,,,,,0.5882352941176471,0.10204081632653061,0.17391304347826086,98.0
I-Symptom,,,,,,0.0,0.0,0.0,23.0
O,,,,,,0.961903697910848,0.9698130209506646,0.9658421672555948,8878.0
accuracy,,,,,,0.922876271628554,0.922876271628554,0.922876271628554,0.922876271628554
macro avg,,,,,,0.5389860081862138,0.48886492808043475,0.4846168908029048,11501.0
weighted avg,,,,,,0.9182960296261881,0.922876271628554,0.9185599589424098,11501.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.5890834191555098,0.6651162790697674,0.6247951938831239,0.9263542300669507,validation,,,,
B-ADR,,,,,,0.759170653907496,0.8307155322862129,0.7933333333333333,573.0
B-Disease,,,,,,0.3181818181818182,0.25925925925925924,0.2857142857142857,27.0
B-Drug,,,,,,0.9661016949152542,0.9827586206896551,0.9743589743589743,174.0
B-Finding,,,,,,0.3888888888888889,0.175,0.2413793103448276,40.0
B-Symptom,,,,,,0.0,0.0,0.0,17.0
I-ADR,,,,,,0.824067022086824,0.7880553532410779,0.8056589724497394,1373.0
I-Disease,,,,,,0.2441860465116279,0.4666666666666667,0.32061068702290074,45.0
I-Drug,,,,,,0.9320754716981132,0.9762845849802372,0.9536679536679536,253.0
I-Finding,,,,,,0.40816326530612246,0.20408163265306123,0.272108843537415,98.0
I-Symptom,,,,,,0.0,0.0,0.0,23.0
O,,,,,,0.9641100178890877,0.9712773147105204,0.9676803950173942,8878.0
accuracy,,,,,,0.9263542300669507,0.9263542300669507,0.9263542300669507,0.9263542300669507
macro avg,,,,,,0.5277222617622939,0.5140089967715172,0.5104102504951659,11501.0
weighted avg,,,,,,0.9220823555193367,0.9263542300669507,0.92349329411922,11501.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.603537981269511,0.6744186046511628,0.6370126304228446,0.9233979653943135,validation,,,,
B-ADR,,,,,,0.7667731629392971,0.837696335078534,0.8006672226855713,573.0
B-Disease,,,,,,0.32142857142857145,0.3333333333333333,0.32727272727272727,27.0
B-Drug,,,,,,0.9659090909090909,0.9770114942528736,0.9714285714285714,174.0
B-Finding,,,,,,0.3333333333333333,0.125,0.18181818181818182,40.0
B-Symptom,,,,,,0.0,0.0,0.0,17.0
I-ADR,,,,,,0.7671503957783641,0.8470502549162418,0.805122879889235,1373.0
I-Disease,,,,,,0.25287356321839083,0.4888888888888889,0.3333333333333333,45.0
I-Drug,,,,,,0.9320754716981132,0.9762845849802372,0.9536679536679536,253.0
I-Finding,,,,,,0.38095238095238093,0.16326530612244897,0.22857142857142856,98.0
I-Symptom,,,,,,0.0,0.0,0.0,23.0
O,,,,,,0.9727875600274412,0.9583239468348728,0.9655015887426237,8878.0
accuracy,,,,,,0.9233979653943135,0.9233979653943135,0.9233979653943135,0.9233979653943135
macro avg,,,,,,0.5175712300259075,0.5188049222188573,0.5061258079463297,11501.0
weighted avg,,,,,,0.9219784625936356,0.9233979653943135,0.9216376656081576,11501.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.6178010471204188,0.686046511627907,0.650137741046832,0.928180158247109,validation,,,,
B-ADR,,,,,,0.7848932676518884,0.8342059336823735,0.8087986463620981,573.0
B-Disease,,,,,,0.29411764705882354,0.37037037037037035,0.32786885245901637,27.0
B-Drug,,,,,,0.9714285714285714,0.9770114942528736,0.9742120343839542,174.0
B-Finding,,,,,,0.35,0.175,0.23333333333333334,40.0
B-Symptom,,,,,,1.0,0.11764705882352941,0.21052631578947367,17.0
I-ADR,,,,,,0.813953488372093,0.8157319737800437,0.8148417606402328,1373.0
I-Disease,,,,,,0.23958333333333334,0.5111111111111111,0.3262411347517731,45.0
I-Drug,,,,,,0.9536679536679536,0.9762845849802372,0.96484375,253.0
I-Finding,,,,,,0.35185185185185186,0.19387755102040816,0.25,98.0
I-Symptom,,,,,,0.0,0.0,0.0,23.0
O,,,,,,0.968792248760703,0.9685740031538634,0.9686831136645263,8878.0
accuracy,,,,,,0.928180158247109,0.928180158247109,0.928180158247109,0.928180158247109
macro avg,,,,,,0.6116625783750199,0.5399830982886192,0.5344862673985825,11501.0
weighted avg,,,,,,0.9271150367842425,0.928180158247109,0.926593513464305,11501.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.6155440414507772,0.6906976744186046,0.650958904109589,0.9273976175984697,validation,,,,
B-ADR,,,,,,0.7819063004846527,0.8446771378708552,0.8120805369127517,573.0
B-Disease,,,,,,0.25,0.25925925925925924,0.2545454545454545,27.0
B-Drug,,,,,,0.9712643678160919,0.9712643678160919,0.9712643678160919,174.0
B-Finding,,,,,,0.34782608695652173,0.2,0.25396825396825395,40.0
B-Symptom,,,,,,1.0,0.17647058823529413,0.3,17.0
