,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.6086956521739131,0.6837209302325581,0.6440306681270536,0.9277454134423093,validation,,,,
B-ADR,,,,,,0.7770491803278688,0.8272251308900523,0.801352493660186,573.0
B-Disease,,,,,,0.15789473684210525,0.1111111111111111,0.13043478260869565,27.0
B-Drug,,,,,,1.0,0.9597701149425287,0.9794721407624634,174.0
B-Finding,,,,,,0.2777777777777778,0.125,0.1724137931034483,40.0
B-Symptom,,,,,,0.0,0.0,0.0,17.0
I-ADR,,,,,,0.8527257933279089,0.763292061179898,0.8055342044581092,1373.0
I-Disease,,,,,,0.2191780821917808,0.35555555555555557,0.2711864406779661,45.0
I-Drug,,,,,,0.9836065573770492,0.9486166007905138,0.96579476861167,253.0
I-Finding,,,,,,0.3333333333333333,0.10204081632653061,0.15625,98.0
I-Symptom,,,,,,0.0,0.0,0.0,23.0
O,,,,,,0.9556579958292174,0.9807389051588196,0.9680360220134526,8878.0
accuracy,,,,,,0.9277454134423093,0.9277454134423093,0.9277454134423093,0.9277454134423093
macro avg,,,,,,0.5052021324551856,0.47030457235954626,0.47731587689963556,11501.0
weighted avg,,,,,,0.920018241016122,0.9277454134423093,0.9227115602695596,11501.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.6415694591728526,0.7034883720930233,0.6711037160288409,0.9283540561690288,validation,,,,
B-ADR,,,,,,0.8164335664335665,0.8150087260034904,0.8157205240174672,573.0
B-Disease,,,,,,0.23333333333333334,0.25925925925925924,0.24561403508771928,27.0
B-Drug,,,,,,0.9823529411764705,0.9597701149425287,0.9709302325581395,174.0
B-Finding,,,,,,0.3103448275862069,0.225,0.2608695652173913,40.0
B-Symptom,,,,,,1.0,0.11764705882352941,0.21052631578947367,17.0
I-ADR,,,,,,0.8283752860411899,0.7909686817188638,0.8092399403874814,1373.0
I-Disease,,,,,,0.20202020202020202,0.4444444444444444,0.2777777777777778,45.0
I-Drug,,,,,,0.9427480916030534,0.9762845849802372,0.9592233009708738,253.0
I-Finding,,,,,,0.4864864864864865,0.1836734693877551,0.26666666666666666,98.0
I-Symptom,,,,,,0.0,0.0,0.0,23.0
O,,,,,,0.9627322282790077,0.9747690921378689,0.9687132702748084,8878.0
accuracy,,,,,,0.9283540561690288,0.9283540561690288,0.9283540561690288,0.9283540561690288
macro avg,,,,,,0.6149842693599562,0.522438675608907,0.5259346935225271,11501.0
weighted avg,,,,,,0.9263748787733528,0.9283540561690288,0.9259746726182362,11501.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.6598493003229279,0.7127906976744186,0.6852990497484628,0.9305277801930267,validation,,,,
B-ADR,,,,,,0.8019966722129783,0.8411867364746946,0.8211243611584327,573.0
B-Disease,,,,,,0.21428571428571427,0.2222222222222222,0.21818181818181817,27.0
B-Drug,,,,,,0.9883720930232558,0.9770114942528736,0.9826589595375722,174.0
B-Finding,,,,,,0.23076923076923078,0.15,0.18181818181818182,40.0
B-Symptom,,,,,,1.0,0.17647058823529413,0.3,17.0
I-ADR,,,,,,0.8538152610441767,0.774217042971595,0.812070282658518,1373.0
I-Disease,,,,,,0.20238095238095238,0.37777777777777777,0.26356589147286824,45.0
I-Drug,,,,,,0.9722222222222222,0.9683794466403162,0.9702970297029703,253.0
I-Finding,,,,,,0.4418604651162791,0.19387755102040816,0.2695035460992908,98.0
I-Symptom,,,,,,1.0,0.17391304347826086,0.2962962962962963,23.0
O,,,,,,0.9606325334512883,0.9784861455282722,0.9694771497126277,8878.0
accuracy,,,,,,0.9305277801930267,0.9305277801930267,0.9305277801930267,0.9305277801930267
macro avg,,,,,,0.6969395585914634,0.5303220044183378,0.5531812287853252,11501.0
weighted avg,,,,,,0.9291107727098095,0.9305277801930267,0.9279465232127193,11501.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.5981781376518218,0.6693091732729332,0.6317477284874399,0.9127765237020316,test,,,,
B-ADR,,,,,,0.7373417721518988,0.8247787610619469,0.7786131996658312,565.0
B-Disease,,,,,,0.2692307692307692,0.28,0.27450980392156865,25.0
B-Drug,,,,,,0.9461077844311377,0.9753086419753086,0.9604863221884499,162.0
B-Finding,,,,,,0.46153846153846156,0.18181818181818182,0.2608695652173913,66.0
B-Symptom,,,,,,0.75,0.2222222222222222,0.34285714285714286,27.0
I-ADR,,,,,,0.7727614747930776,0.7675635276532138,0.770153730783652,1338.0
I-Disease,,,,,,0.23255813953488372,0.3389830508474576,0.27586206896551724,59.0
I-Drug,,,,,,0.9186991869918699,0.9416666666666667,0.9300411522633745,240.0
I-Finding,,,,,,0.5423728813559322,0.22535211267605634,0.31840796019900497,142.0
I-Symptom,,,,,,0.75,0.11538461538461539,0.2,26.0
O,,,,,,0.9599623174752708,0.9675964391691395,0.9637642608027428,8425.0
accuracy,,,,,,0.9127765237020316,0.9127765237020316,0.9127765237020316,0.9127765237020316
macro avg,,,,,,0.6673247988639366,0.530970383588619,0.5523241097149705,11075.0
weighted avg,,,,,,0.9101284814719114,0.9127765237020316,0.9091586256683812,11075.0
