,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.5715667311411993,0.6872093023255814,0.6240760295670539,0.921547745828896,validation,,,,
B-ADR,,,,,,0.7157584683357879,0.8481675392670157,0.7763578274760383,573.0
B-Disease,,,,,,0.4444444444444444,0.2962962962962963,0.35555555555555557,27.0
B-Drug,,,,,,0.9281767955801105,0.9655172413793104,0.9464788732394366,174.0
B-Finding,,,,,,0.35714285714285715,0.125,0.18518518518518517,40.0
B-Symptom,,,,,,0.0,0.0,0.0,17.0
I-ADR,,,,,,0.7593360995850622,0.8133333333333334,0.7854077253218884,1350.0
I-Disease,,,,,,0.18181818181818182,0.2608695652173913,0.21428571428571427,23.0
I-Drug,,,,,,0.8957345971563981,0.9792746113989638,0.9356435643564357,193.0
I-Finding,,,,,,0.0,0.0,0.0,63.0
I-Symptom,,,,,,0.0,0.0,0.0,22.0
O,,,,,,0.9701715996775309,0.9587980878670612,0.964451313755796,8786.0
accuracy,,,,,,0.921547745828896,0.921547745828896,0.921547745828896,0.921547745828896
macro avg,,,,,,0.477507549430943,0.4770233340690338,0.4693968871978227,11268.0
weighted avg,,,,,,0.9162236496017647,0.921547745828896,0.918177601853672,11268.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.6404255319148936,0.7,0.6688888888888889,0.9249201277955271,validation,,,,
B-ADR,,,,,,0.7751277683134583,0.794066317626527,0.7844827586206896,573.0
B-Disease,,,,,,0.3333333333333333,0.5555555555555556,0.4166666666666667,27.0
B-Drug,,,,,,0.9822485207100592,0.9540229885057471,0.967930029154519,174.0
B-Finding,,,,,,0.4,0.05,0.08888888888888889,40.0
B-Symptom,,,,,,0.6666666666666666,0.23529411764705882,0.34782608695652173,17.0
I-ADR,,,,,,0.7796242774566474,0.7992592592592592,0.789319678127286,1350.0
I-Disease,,,,,,0.24528301886792453,0.5652173913043478,0.34210526315789475,23.0
I-Drug,,,,,,0.9738219895287958,0.9637305699481865,0.96875,193.0
I-Finding,,,,,,0.5,0.015873015873015872,0.03076923076923077,63.0
I-Symptom,,,,,,0.0,0.0,0.0,22.0
O,,,,,,0.96328611898017,0.9675620305030731,0.9654193401851116,8786.0
accuracy,,,,,,0.9249201277955271,0.9249201277955271,0.9249201277955271,0.9249201277955271
macro avg,,,,,,0.6017628812597323,0.5364164769293428,0.5183779947751644,11268.0
weighted avg,,,,,,0.9222938016080727,0.9249201277955271,0.9214748460885407,11268.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.6307053941908713,0.7069767441860465,0.6666666666666666,0.9297124600638977,validation,,,,
B-ADR,,,,,,0.8017543859649123,0.7975567190226877,0.799650043744532,573.0
B-Disease,,,,,,0.3181818181818182,0.25925925925925924,0.2857142857142857,27.0
B-Drug,,,,,,0.9548022598870056,0.9712643678160919,0.9629629629629629,174.0
B-Finding,,,,,,0.34615384615384615,0.45,0.391304347826087,40.0
B-Symptom,,,,,,0.5454545454545454,0.35294117647058826,0.42857142857142855,17.0
I-ADR,,,,,,0.8181818181818182,0.8066666666666666,0.8123834390152928,1350.0
I-Disease,,,,,,0.12195121951219512,0.21739130434782608,0.15625,23.0
I-Drug,,,,,,0.9223300970873787,0.9844559585492227,0.9523809523809523,193.0
I-Finding,,,,,,0.3548387096774194,0.3492063492063492,0.352,63.0
I-Symptom,,,,,,0.625,0.22727272727272727,0.3333333333333333,22.0
O,,,,,,0.9681383705052344,0.9683587525608923,0.9682485489928303,8786.0
accuracy,,,,,,0.9297124600638977,0.9297124600638977,0.9297124600638977,0.9297124600638977
macro avg,,,,,,0.6160715518732885,0.5803975710156646,0.5857090311401549,11268.0
weighted avg,,,,,,0.9304915912219374,0.9297124600638977,0.9298073487574303,11268.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.6435233160621762,0.7220930232558139,0.6805479452054795,0.9276712815051473,validation,,,,
B-ADR,,,,,,0.7942664418212478,0.8219895287958116,0.8078902229845626,573.0
B-Disease,,,,,,0.2978723404255319,0.5185185185185185,0.3783783783783784,27.0
B-Drug,,,,,,0.9771428571428571,0.9827586206896551,0.9799426934097422,174.0
B-Finding,,,,,,0.27586206896551724,0.2,0.2318840579710145,40.0
B-Symptom,,,,,,0.6,0.5294117647058824,0.5625,17.0
I-ADR,,,,,,0.8053293856402665,0.8059259259259259,0.8056275453535727,1350.0
I-Disease,,,,,,0.15254237288135594,0.391304347826087,0.21951219512195122,23.0
I-Drug,,,,,,0.9223300970873787,0.9844559585492227,0.9523809523809523,193.0
I-Finding,,,,,,0.2727272727272727,0.14285714285714285,0.1875,63.0
I-Symptom,,,,,,0.4444444444444444,0.36363636363636365,0.4,22.0
O,,,,,,0.9695721802791123,0.96471659458229,0.9671382930168873,8786.0
accuracy,,,,,,0.9276712815051473,0.9276712815051473,0.9276712815051473,0.9276712815051473
macro avg,,,,,,0.5920081328559076,0.6095977060079,0.5902503944197328,11268.0
weighted avg,,,,,,0.9290688844583701,0.9276712815051473,0.9280112032241329,11268.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.6489252814738997,0.7372093023255814,0.6902558519324987,0.928381256656017,validation,,,,
B-ADR,,,,,,0.7953795379537953,0.8411867364746946,0.8176420695504665,573.0
B-Disease,,,,,,0.3448275862068966,0.37037037037037035,0.35714285714285715,27.0
B-Drug,,,,,,0.9824561403508771,0.9655172413793104,0.9739130434782609,174.0
B-Finding,,,,,,0.4146341463414634,0.425,0.41975308641975306,40.0
B-Symptom,,,,,,0.8,0.47058823529411764,0.5925925925925926,17.0
I-ADR,,,,,,0.7898860398860399,0.8214814814814815,0.8053740014524329,1350.0
I-Disease,,,,,,0.15151515151515152,0.21739130434782608,0.17857142857142858,23.0
I-Drug,,,,,,0.9790575916230366,0.9689119170984456,0.9739583333333334,193.0
I-Finding,,,,,,0.323943661971831,0.36507936507936506,0.34328358208955223,63.0
I-Symptom,,,,,,0.5714285714285714,0.36363636363636365,0.4444444444444444,22.0
O,,,,,,0.9707978845711658,0.9610744366036876,0.9659116906886296,8786.0
accuracy,,,,,,0.928381256656017,0.928381256656017,0.928381256656017,0.928381256656017
macro avg,,,,,,0.6476296647135299,0.6154761319786964,0.624780648160341,11268.0
weighted avg,,,,,,0.9307237100622993,0.928381256656017,0.9293324095742221,11268.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.5638506876227898,0.6500566251415628,0.6038926880589164,0.9095238095238095,test,,,,
B-ADR,,,,,,0.7339901477832512,0.7911504424778761,0.7614991482112436,565.0
B-Disease,,,,,,0.2692307692307692,0.56,0.36363636363636365,25.0
B-Drug,,,,,,0.9457831325301205,0.9691358024691358,0.9573170731707317,162.0
B-Finding,,,,,,0.5384615384615384,0.10606060606060606,0.17721518987341772,66.0
B-Symptom,,,,,,0.3,0.1111111111111111,0.16216216216216217,27.0
I-ADR,,,,,,0.7330985915492958,0.7946564885496183,0.7626373626373626,1310.0
I-Disease,,,,,,0.1935483870967742,0.4444444444444444,0.2696629213483146,27.0
I-Drug,,,,,,0.9045226130653267,0.9473684210526315,0.9254498714652957,190.0
I-Finding,,,,,,0.5833333333333334,0.07,0.125,100.0
I-Symptom,,,,,,0.0,0.0,0.0,25.0
O,,,,,,0.9640014693277825,0.958602215999026,0.9612942612942613,8213.0
accuracy,,,,,,0.9095238095238095,0.9095238095238095,0.9095238095238095,0.9095238095238095
macro avg,,,,,,0.5605427256707447,0.5229572301967681,0.49689766852719575,10710.0
weighted avg,,,,,,0.9086285892178021,0.9095238095238095,0.9057216584606413,10710.0
